dt,AverageTemperature
1743-11-01,4.92
1744-04-01,12.224
1744-05-01,14.523
1744-06-01,17.735
1744-07-01,19.978
1744-09-01,15.474
1744-10-01,9.343
1744-11-01,4.523
1744-12-01,-0.69
1745-01-01,-3.947
1745-02-01,-1.5719999999999998
1745-03-01,2.9850000000000003
1745-04-01,9.675
1750-01-01,-1.142
1750-02-01,1.834
1750-03-01,6.615
1750-04-01,10.675999999999998
1750-05-01,15.462
1750-06-01,18.919
1750-07-01,22.09
1750-08-01,20.379
1750-09-01,15.227
1750-10-01,7.33
1750-12-01,-1.318
1751-01-01,-2.526
1751-02-01,-2.9
1751-03-01,6.166
1751-04-01,9.432
1751-06-01,19.824
1751-07-01,21.387
1751-08-01,20.858
1751-09-01,14.895
1752-01-01,-3.487
1752-03-01,5.784
1752-04-01,10.243
1752-10-01,9.54
1752-11-01,5.506
1752-12-01,0.8580000000000001
1753-01-01,-3.864
1753-02-01,-1.656
1753-03-01,5.869
1753-04-01,10.871
1753-05-01,16.096
1753-06-01,20.494
1753-07-01,21.536
1753-08-01,19.656
1753-09-01,16.279
1753-10-01,10.447
1753-11-01,3.14
1753-12-01,-3.006
1754-01-01,-3.59
1754-02-01,-3.448
1754-03-01,2.208
1754-04-01,11.364
1754-05-01,16.525
1754-06-01,20.039
1754-07-01,20.306
1754-08-01,19.873
1754-09-01,15.352
1754-10-01,11.058
1754-11-01,4.878
1754-12-01,0.038
1755-01-01,-6.872999999999998
1755-02-01,-4.944000000000001
1755-03-01,3.904
1755-04-01,13.011
1755-05-01,16.547
1755-06-01,21.762
1755-07-01,21.171
1755-08-01,19.152
1755-09-01,15.268
1755-10-01,9.459
1755-11-01,4.073
1755-12-01,-0.299
1756-01-01,-0.1859999999999999
1756-02-01,2.397
1756-03-01,5.191
1756-04-01,10.685
1756-05-01,16.349
1756-06-01,21.556
1756-07-01,21.466
1756-08-01,19.349
1756-09-01,16.965
1756-10-01,9.331
1756-11-01,2.1
1756-12-01,-2.325
1757-01-01,-4.531000000000001
1757-02-01,0.939
1757-03-01,4.938
1757-04-01,11.225
1757-05-01,16.483
1757-06-01,22.189
1757-07-01,24.529
1757-08-01,20.992
1757-09-01,15.578
1757-10-01,6.27
1757-11-01,3.499
1757-12-01,-3.02
1758-01-01,-6.609
1758-02-01,-1.44
1758-03-01,4.212
1758-04-01,9.295
1758-05-01,15.720999999999998
1758-06-01,19.944000000000003
1758-07-01,19.72
1758-08-01,19.283
1758-09-01,13.800999999999998
1758-10-01,6.84
1758-11-01,4.169
1758-12-01,-0.396
1759-01-01,0.1739999999999999
1759-02-01,1.228
1759-03-01,4.94
1759-04-01,9.466
1759-05-01,14.63
1759-06-01,20.029
1759-07-01,21.678
1759-08-01,20.89
1759-09-01,16.344
1759-10-01,10.24
1759-11-01,1.229
1759-12-01,-4.143
1760-01-01,-4.376
1760-02-01,-1.5
1760-03-01,2.478
1760-04-01,10.582
