dt,AverageTemperature
2013-10-01,12.21
2013-11-01,7.29
2013-12-01,1.35
2014-01-01,2.3
2014-02-01,4.07
2014-03-01,9.04
2014-04-01,12.77
2014-05-01,15.45
2014-06-01,19.72
2014-07-01,22.23
2014-08-01,19.77
2014-09-01,16.9
2014-10-01,11.96
2014-11-01,7.14
2014-12-01,2.58
2015-01-01,1.71
2015-02-01,2.21
2015-03-01,6.50
2015-04-01,10.70
2015-05-01,16.23
2015-06-01,20.41
2015-07-01,23.76
2015-08-01,23.88
2015-09-01,18.11
2015-10-01,10.09
2015-11-01,6.44
2015-12-01,2.75
2016-01-01,-1.39
2016-02-01,5.55
2016-03-01,6.75
2016-04-01,12.39
2016-05-01,16.13
2016-06-01,20.85
2016-07-01,22.20
2016-08-01,20.5
2016-09-01,18.02
2016-10-01,9.52
2016-11-01,4.8
2016-12-01,-0.76
2017-01-01,-5.85
2017-02-01,2.36
2017-03-01,8.99
2017-04-01,10.53
2017-05-01,16.81
2017-06-01,21.89
2017-07-01,22.03
2017-08-01,22.88
2017-09-01,15.64
2017-10-01,10.86
2017-11-01,5.68
2017-12-01,2.13
2018-01-01,2.57
2018-02-01,0.02
2018-03-01,3.39
2018-04-01,15.87
2018-05-01,19.44
2018-06-01,20.93
2018-07-01,22.21
2018-08-01,23.4
2018-09-01,17.26
2018-10-01,12.99
2018-11-01,6.84
2018-12-01,0.50
2019-01-01,-0.98
2019-02-01,3.25
2019-03-01,8.34
2019-04-01,12.83
2019-05-01,13.84
2019-06-01,23.15
2019-07-01,21.71
2019-08-01,23.03
2019-09-01,16.79
2019-10-01,12.33
2019-11-01,8.83
2019-12-01,3.12
2020-01-01,-0.95
2020-02-01,-5.46
2020-03-01,6.5
2020-04-01,11.53
2020-05-01,14.42
2020-06-01,19.96
2020-07-01,21.42
2020-08-01,22.75
2020-09-01,18.13
2020-10-01,11.49
2020-11-01,4.88
2020-12-01,3.65
2021-01-01,1.19
2021-02-01,2.09
2021-03-01,5.13
2021-04-01,8.35
2021-05-01,13.91
2021-06-01,22.31
2021-07-01,24.20
2021-08-01,20.41
2021-09-01,17.02
2021-10-01,9.66
2021-11-01,5.54
2021-12-01,1.16
2022-01-01,1.01
2022-02-01,4.61
2022-03-01,4.81
2022-04-01,9.56
2022-05-01,17.59
2022-06-01,22.35
2022-07-01,23.95
2022-08-01,24.31
2022-09-01,15.91
2022-10-01,12.49
2022-11-01,6.43
2022-12-01,2.1
2023-01-01,3.97
2023-02-01,2.92
2023-03-01,7.44
2023-04-01,9.91
2023-05-01,16.43
2023-06-01,20.24
2023-07-01,23.59
2023-08-01,22.51
2023-09-01,20.08
2023-10-01,13.92
2023-11-01,6.16
2023-12-01,2.00
